# Copyright 2018 Eugenio Gianniti
#
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.

# V
set VMs := small medium large;
# J
set Jobs := AlexNet GoogLeNet;

# c_v
param cost :=
small 0.2
medium 0.8
large 0.9
;

# n_v
param available_GPUs :=
small 1
medium 2
large 3
;

# d_j
param deadline :=
AlexNet 20
GoogLeNet 19
;

# p_j
param penalty :=
AlexNet 10
GoogLeNet 20
;

# w_j
param tardinessweight :=
AlexNet 2
GoogLeNet 3
;

# t_{j v g}
table time(Jobs, VMs, GPUs) :
Jobs        VMs     GPUs    time :=
AlexNet     small   1       15
AlexNet     medium  1       16
AlexNet     medium  2       9
AlexNet     large   1       13
AlexNet     large   2       15
AlexNet     large   3       10
GoogLeNet   small   1       18
GoogLeNet   medium  1       13
GoogLeNet   medium  2       7
GoogLeNet   large   1       6
GoogLeNet   large   2       5
GoogLeNet   large   3       4
;
